id,lang,author,rating,text,date,verified,helpful
pt-001,pt,Sophie M.,5,"Estou no AcoquinementVotre há meses e adoro a atmosfera. Se o AKOKY for realmente a nova versão premium, mal posso esperar para entrar! A ideia de vídeo ao vivo me intriga… especialmente para animar minhas noites.",2025-01-15,true,142
pt-002,pt,Marc & Léa,5,"O AcoquinementVotre nos permitiu conhecer casais incríveis. Por isso, estamos atentos ao lançamento do AKOKY. O vídeo ao vivo vai trazer aquele friozinho gostoso… Léa já está impaciente.",2025-03-10,true,128
pt-003,pt,Alexandre T.,4,"Muito satisfeito com o site atual, simples e eficiente. E obrigado pelo acesso gratuito ao AKOKY no lançamento! Curioso para testar o ao vivo… já tenho algumas ideias.",2025-05-08,true,95
pt-004,pt,Camille R.,5,"O AcoquinementVotre já foi uma ótima surpresa. Então o AKOKY, com um design mais elegante e novas funcionalidades, é um sim imediato! Principalmente se pudermos aparecer ao vivo…",2025-06-05,true,156
pt-005,pt,Thomas & Julie,5,"Vivemos momentos incríveis no AcoquinementVotre, então acompanhamos sua evolução com entusiasmo. Ansiosos para descobrir o AKOKY e seus eventos premium. Obrigado pela assinatura gratuita!",2025-08-02,true,134
pt-006,pt,Isabelle L.,4,"O site atual é sério e discreto, algo que valorizo muito. Estou realmente ansiosa para migrar para o AKOKY. E com vídeo ao vivo seguro… acho que vou adorar.",2024-12-28,true,89
pt-007,pt,Julien B.,5,"O AcoquinementVotre me proporcionou encontros incríveis, então o anúncio do AKOKY me deixou muito animado. O ao vivo vai me permitir me exibir um pouco mais… e eu assumo!",2024-12-25,true,112
pt-008,pt,Émilie & David,5,"Precisávamos de uma plataforma simples e confiável, e o AcoquinementVotre cumpriu perfeitamente. Agora planejamos passar para o AKOKY assim que abrir. O conceito dos lives nos agrada muito.",2024-11-20,true,145
pt-009,pt,Nicolas P.,4,"Boa experiência geral no AcoquinementVotre, nada a reclamar. Estou curioso para ver o que o AKOKY está preparando. E a ideia de assistir alguns lives… sejamos honestos, motiva.",2024-10-18,true,76
pt-010,pt,Charlotte & Maxime,5,"Gostamos muito do site atual, então quando soubemos do lançamento do AKOKY ficamos super animados! Obrigado pela assinatura gratuita. Mal podemos esperar para testar os lives — Maxime já está pronto para se mostrar 😉",2024-12-15,true,167
